Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 3, 30.0, -7.25
Query 2, 1, 10.0, 0
Query 3, 2, 20.0, -19.0
Query 4, 2, 20.0, -15.0
Query 5, 1, 10.0, 0
Query 6, 6, 60.0, 0.0
Query 7, 3, 30.0, -7.75
Query 8, 3, 30.0, -12.5
Query 9, 2, 20.0, -64.0
Query 10, 3, 30.0, -33.25
Query 11, 5, 50.0, 0.30000000000000004
Query 12, 2, 20.0, -1.0
Query 13, 6, 60.0, -0.05714285714285716
Query 14, 3, 30.0, -1.5
Query 15, 1, 10.0, 0
Query 16, 0, 0.0, 0
Query 17, 2, 20.0, -57.0
Query 18, 0, 0.0, 0
Query 19, 3, 30.0, -5.5
Query 20, 4, 40.0, -2.7
Query 21, 2, 20.0, -17.0
Query 22, 0, 0.0, 0
Query 23, 3, 30.0, -8.25
Query 24, 1, 10.0, 0
Query 25, 3, 30.0, -4.5
Query 26, 5, 50.0, -0.050000000000000044
Query 27, 0, 0.0, 0
Query 28, 3, 30.0, -8.5
Query 29, 2, 20.0, -9.0
Query 30, 1, 10.0, 0
Query 31, 3, 30.0, -20.5
Query 32, 1, 10.0, 0
Query 33, 4, 40.0, -4.4
Query 34, 2, 20.0, -79.0
Query 35, 1, 10.0, 0
Query 36, 2, 20.0, -64.0
Query 37, 4, 40.0, -4.8
Query 38, 4, 40.0, -3.4000000000000004
Query 39, 2, 20.0, -16.0
Query 40, 1, 10.0, 0
Query 41, 3, 30.0, -6.25
Query 42, 1, 10.0, 0
Query 43, 4, 40.0, -1.5
Query 44, 2, 20.0, -17.0
Query 45, 1, 10.0, 0
Query 46, 2, 20.0, -9.0
Query 47, 1, 10.0, 1
Query 48, 3, 30.0, -1.25
Query 49, 1, 10.0, 0
Query 50, 2, 20.0, -3.0
Query 51, 4, 40.0, -10.7
Query 52, 2, 20.0, -1.0
Query 53, 3, 30.0, 0.5
Query 54, 1, 10.0, 0
Query 55, 1, 10.0, 0
Query 56, 2, 20.0, -4.0
Query 57, 0, 0.0, 0
Query 58, 0, 0.0, 0
Query 59, 1, 10.0, 0
Query 60, 0, 0.0, 0
Query 61, 1, 10.0, 0
Query 62, 3, 30.0, -17.5
Query 63, 2, 20.0, -84.0
Query 64, 3, 30.0, -13.0
Query 65, 4, 40.0, -4.0
Query 66, 2, 20.0, -15.0
Query 67, 1, 10.0, 0
Query 68, 1, 10.0, 0
Query 69, 1, 10.0, 0
Query 70, 2, 20.0, -24.0
Query 71, 1, 10.0, 0
Query 72, 2, 20.0, -3.0
Query 73, 1, 10.0, 0
Query 74, 1, 10.0, 0
Query 75, 3, 30.0, -6.25
Query 76, 2, 20.0, -19.0
Query 77, 3, 30.0, -7.0
Query 78, 2, 20.0, -33.0
Query 79, 0, 0.0, 0
Query 80, 2, 20.0, -39.0
Query 81, 5, 50.0, 0.75
Query 82, 2, 20.0, -12.0
Query 83, 4, 40.0, -0.8
Query 84, 2, 20.0, -4.0
Query 85, 2, 20.0, -15.0
Query 86, 3, 30.0, -19.25
Query 87, 3, 30.0, -5.5
Query 88, 0, 0.0, 0
Query 89, 4, 40.0, -1.4
Query 90, 3, 30.0, -1.25
Query 91, 4, 40.0, -0.30000000000000004
Query 92, 0, 0.0, 0
Query 93, 3, 30.0, -3.5
Query 94, 5, 50.0, -6.7
Query 95, 0, 0.0, 0
Query 96, 2, 20.0, -25.0
Query 97, 2, 20.0, -17.0
Query 98, 1, 10.0, 0
Query 99, 1, 10.0, 0
Query 100, 2, 20.0, -36.0
Averages, 2.15, 21.5, -9.295071428571427
